Site,Date,Plane_Height,Area_2D,Area_3D,Volume
003l,20080517,8kto25k,576.020251184,599.782720388,482.365298302
003l,20080517,above920.82,740.702531314,777.009269213,536.58494562
003l,20080517,above920.92,696.897755515,732.33273662,489.325173643
003l,20080517,above921.02,655.577257416,690.112807438,444.935135456
003l,20080517,above921.12,617.56323234,651.185928188,403.476886944
003l,20080517,above921.22,579.787266583,612.463978289,364.751844255
003l,20080517,above921.32,538.909138708,570.619147596,329.050194881
003l,20080517,above921.42,501.420177866,532.165451769,296.415483542
003l,20080517,above921.52,466.933281529,496.725516956,266.549791502
003l,20080517,above921.62,433.045814506,461.897747209,239.314584309
003l,20080517,above921.72,404.7205321,432.584794119,214.460174927
003l,20080517,above921.82,379.900749386,406.717128788,191.534822378
003l,20080517,above921.92,356.373424251,382.03612432,170.263559357
003l,20080517,above922.02,323.967665258,348.26735244,151.039408123
003l,20080517,above922.12,285.409641117,308.386972979,134.619212243
003l,20080517,above922.22,252.151618457,273.80198503,121.18020851
003l,20080517,above922.32,228.214681895,248.545730822,109.917554185
003l,20080517,above922.42,215.443172562,234.483313857,99.7550853541
003l,20080517,above922.52,205.875980645,223.618210092,89.9629381918
003l,20080517,above922.62,196.062067186,212.512837533,80.5455537803
003l,20080517,above922.72,186.03727869,201.203534043,71.5583061958
003l,20080517,above922.82,175.851980699,189.756275817,63.0353204908
003l,20080517,above922.92,165.69235539,178.359550338,54.9970105289
003l,20080517,above923.02,155.486298171,166.950482011,47.4438854183
003l,20080517,above923.12,145.321731948,155.611816844,40.3868948031
003l,20080517,above923.22,135.320276142,144.448713791,33.8226424566
003l,20080517,above923.32,125.484202732,133.474279847,27.6925219422
003l,20080517,above923.42,111.326460752,118.370963247,22.0432139844
003l,20080517,above923.52,88.8129990708,95.1087379924,17.6861317297
003l,20080517,above923.62,73.8410905155,79.3553209591,14.2682781396
003l,20080517,above923.72,61.6402069753,66.3431062691,11.2121443991
003l,20080517,above923.82,49.5615763633,53.4718666099,8.4195906365
003l,20080517,above923.92,35.9302517044,39.0874482984,6.01382711225
003l,20080517,above924.02,24.5406884754,27.0404244436,4.23859620481
003l,20080517,above924.12,17.0556291038,18.9505077581,2.87772189807
003l,20080517,above924.22,11.5278237889,12.8620442272,1.7685665459
003l,20080517,above924.32,6.67664382121,7.50619196404,0.935163899718
003l,20080517,above924.42,3.06537169463,3.53859124237,0.476014459838
