Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\chan_003l_20080328, 907.32, ABOVE, 1.000000, 16887.611941827, 17595.935795402, 108280.86643264
..Output_data\chan_003l_20080328, 907.42, ABOVE, 1.000000, 16887.044944971, 17595.366627453, 106592.10865001
..Output_data\chan_003l_20080328, 907.52, ABOVE, 1.000000, 16865.198370931, 17573.450532466, 104904.03760193
..Output_data\chan_003l_20080328, 907.62, ABOVE, 1.000000, 16775.677474978, 17483.69320515, 103221.50297384
..Output_data\chan_003l_20080328, 907.72, ABOVE, 1.000000, 16696.220948051, 17403.959502169, 101548.12934083
..Output_data\chan_003l_20080328, 907.82, ABOVE, 1.000000, 16631.833219272, 17339.193780921, 99881.78780081
..Output_data\chan_003l_20080328, 907.92, ABOVE, 1.000000, 16572.536708904, 17279.403088931, 98221.625125204
..Output_data\chan_003l_20080328, 908.02, ABOVE, 1.000000, 16516.128441454, 17222.38152198, 96567.192506796
..Output_data\chan_003l_20080328, 908.12, ABOVE, 1.000000, 16451.896279013, 17157.432783288, 94918.747893564
..Output_data\chan_003l_20080328, 908.22, ABOVE, 1.000000, 16390.34788866, 17095.051965308, 93276.71004072
..Output_data\chan_003l_20080328, 908.32, ABOVE, 1.000000, 16329.71821527, 17033.436222019, 91640.735394806
..Output_data\chan_003l_20080328, 908.42, ABOVE, 1.000000, 16267.703685683, 16970.332382328,  90010.6996035
..Output_data\chan_003l_20080328, 908.52, ABOVE, 1.000000, 16191.428690503, 16892.843268857, 88387.911956799
..Output_data\chan_003l_20080328, 908.62, ABOVE, 1.000000, 16118.043916283, 16818.12459347, 86772.32138894
..Output_data\chan_003l_20080328, 908.72, ABOVE, 1.000000, 16040.901418784, 16739.518351886, 85164.40485204
..Output_data\chan_003l_20080328, 908.82, ABOVE, 1.000000, 15961.092596163, 16658.209084669, 83564.381888591
..Output_data\chan_003l_20080328, 908.92, ABOVE, 1.000000, 15884.222047571, 16579.755085546, 81972.018316008
..Output_data\chan_003l_20080328, 909.02, ABOVE, 1.000000, 15802.406449139, 16496.176463566, 80387.586763208
..Output_data\chan_003l_20080328, 909.12, ABOVE, 1.000000, 15695.410514056, 16387.084047447, 78812.341385461
..Output_data\chan_003l_20080328, 909.22, ABOVE, 1.000000, 15560.555560547, 16249.87735699, 77249.486308259
..Output_data\chan_003l_20080328, 909.32, ABOVE, 1.000000, 15436.813783933, 16123.480783824,  75699.6788461
..Output_data\chan_003l_20080328, 909.42, ABOVE, 1.000000, 15314.303010711, 15998.002285292, 74161.911560352
..Output_data\chan_003l_20080328, 909.52, ABOVE, 1.000000, 15174.989525653, 15855.43848056, 72637.250774432
..Output_data\chan_003l_20080328, 909.62, ABOVE, 1.000000, 15028.473920319, 15705.551919508, 71127.450022732
..Output_data\chan_003l_20080328, 909.72, ABOVE, 1.000000, 14894.598192087, 15568.145262976,  69631.1947762
..Output_data\chan_003l_20080328, 909.82, ABOVE, 1.000000, 14767.821710114, 15437.567977236, 68147.96576861
..Output_data\chan_003l_20080328, 909.92, ABOVE, 1.000000, 14643.247126304, 15308.887567989, 66677.575477126
..Output_data\chan_003l_20080328, 910.02, ABOVE, 1.000000, 14518.33545265, 15179.519118357, 65219.663089122
..Output_data\chan_003l_20080328, 910.12, ABOVE, 1.000000, 14400.841984092, 15057.245014359, 63773.594414306
..Output_data\chan_003l_20080328, 910.22, ABOVE, 1.000000, 14284.677949555, 14936.01318827, 62339.496590038
..Output_data\chan_003l_20080328, 910.32, ABOVE, 1.000000, 14176.499663576, 14822.400349052, 60916.512611554
..Output_data\chan_003l_20080328, 910.42, ABOVE, 1.000000, 14070.491508001, 14710.697427496, 59504.167830667
..Output_data\chan_003l_20080328, 910.52, ABOVE, 1.000000, 13964.376121678, 14598.615884929, 58102.410557027
..Output_data\chan_003l_20080328, 910.62, ABOVE, 1.000000, 13854.011392301, 14482.117483747, 56711.419054238
..Output_data\chan_003l_20080328, 910.72, ABOVE, 1.000000, 13743.696542565, 14365.491805935, 55331.541777649
..Output_data\chan_003l_20080328, 910.82, ABOVE, 1.000000, 13634.385532234, 14249.71777155, 53962.617873577
..Output_data\chan_003l_20080328, 910.92, ABOVE, 1.000000, 13527.629364014, 14136.340581175, 52604.610239591
..Output_data\chan_003l_20080328, 911.02, ABOVE, 1.000000, 13426.734171274, 14028.760324246, 51256.926493082
..Output_data\chan_003l_20080328, 911.12, ABOVE, 1.000000, 13329.231892889, 13924.588874612, 49919.134069251
..Output_data\chan_003l_20080328, 911.22, ABOVE, 1.000000, 13230.40099731, 13819.096968204, 48591.120485318
..Output_data\chan_003l_20080328, 911.32, ABOVE, 1.000000, 13122.214374081, 13704.18916369, 47273.391817135
..Output_data\chan_003l_20080328, 911.42, ABOVE, 1.000000, 13000.797266472, 13575.916545084, 45967.134736985
..Output_data\chan_003l_20080328, 911.52, ABOVE, 1.000000, 12875.092208099, 13443.259158272, 44673.36133755
..Output_data\chan_003l_20080328, 911.62, ABOVE, 1.000000, 12755.403140343, 13316.560839422, 43391.907267062
..Output_data\chan_003l_20080328, 911.72, ABOVE, 1.000000, 12638.850780809, 13192.940542615, 42122.146578837
..Output_data\chan_003l_20080328, 911.82, ABOVE, 1.000000, 12507.34611955, 13054.241610312, 40864.614583597
..Output_data\chan_003l_20080328, 911.92, ABOVE, 1.000000, 12352.433278582, 12891.824413478, 39621.468163784
..Output_data\chan_003l_20080328, 912.02, ABOVE, 1.000000, 12191.820649141, 12723.56057018, 38394.072375003
..Output_data\chan_003l_20080328, 912.12, ABOVE, 1.000000, 12031.006612247, 12555.026160585, 37182.947451466
..Output_data\chan_003l_20080328, 912.22, ABOVE, 1.000000, 11868.974476888,  12385.2035459, 35987.923412761
..Output_data\chan_003l_20080328, 912.32, ABOVE, 1.000000, 11695.481783103, 12203.73300264, 34809.607965284
..Output_data\chan_003l_20080328, 912.42, ABOVE, 1.000000, 11526.866409862, 12027.024991811, 33648.590755081
..Output_data\chan_003l_20080328, 912.52, ABOVE, 1.000000, 11366.491260878, 11858.476341512, 32503.900056304
..Output_data\chan_003l_20080328, 912.62, ABOVE, 1.000000, 11199.707088334, 11683.391042203, 31375.494399873
..Output_data\chan_003l_20080328, 912.72, ABOVE, 1.000000, 11008.717891049, 11483.857762865, 30264.824330388
..Output_data\chan_003l_20080328, 912.82, ABOVE, 1.000000, 10790.176631808, 11256.558216195, 29174.550653357
..Output_data\chan_003l_20080328, 912.92, ABOVE, 1.000000, 10558.033084445, 11015.402370525, 28107.412587241
..Output_data\chan_003l_20080328, 913.02, ABOVE, 1.000000, 10343.734070079, 10791.878503578, 27062.372396844
..Output_data\chan_003l_20080328, 913.12, ABOVE, 1.000000, 10125.728007819, 10564.553813685, 26039.004674236
..Output_data\chan_003l_20080328, 913.22, ABOVE, 1.000000, 9906.9440699621, 10336.450481632, 25037.187500247
..Output_data\chan_003l_20080328, 913.32, ABOVE, 1.000000, 9679.893142669, 10099.959231259, 24057.737746943
..Output_data\chan_003l_20080328, 913.42, ABOVE, 1.000000, 9482.3630865864, 9892.8460365369, 23100.016253089
..Output_data\chan_003l_20080328, 913.52, ABOVE, 1.000000, 9310.5789195442, 9711.3605474237, 22160.579358011
..Output_data\chan_003l_20080328, 913.62, ABOVE, 1.000000, 9145.3653490888, 9536.2964289432, 21237.778041603
..Output_data\chan_003l_20080328, 913.72, ABOVE, 1.000000, 8983.3402273056, 9364.2382617881, 20331.352004623
..Output_data\chan_003l_20080328, 913.82, ABOVE, 1.000000, 8811.0528614218, 9181.7989243873, 19441.434635527
..Output_data\chan_003l_20080328, 913.92, ABOVE, 1.000000, 8632.145753347, 8992.6512162473, 18569.307903763
..Output_data\chan_003l_20080328, 914.02, ABOVE, 1.000000, 8447.2225285198, 8797.3763022612, 17715.257106422
..Output_data\chan_003l_20080328, 914.12, ABOVE, 1.000000, 8253.3970033786, 8593.0606597971, 16880.111811175
..Output_data\chan_003l_20080328, 914.22, ABOVE, 1.000000, 8057.8057497354, 8386.9628984312, 16064.529494875
..Output_data\chan_003l_20080328, 914.32, ABOVE, 1.000000, 7818.2300074111, 8136.9061363142, 15269.821605317
..Output_data\chan_003l_20080328, 914.42, ABOVE, 1.000000, 7596.3347674527, 7904.5735456797, 14499.240885843
..Output_data\chan_003l_20080328, 914.52, ABOVE, 1.000000, 7387.1819435424, 7684.9876345212, 13750.060591912
..Output_data\chan_003l_20080328, 914.62, ABOVE, 1.000000, 7160.0468750109, 7447.4673364929, 13022.379664866
..Output_data\chan_003l_20080328, 914.72, ABOVE, 1.000000, 6914.1096267681, 7191.2785175881, 12318.306228782
..Output_data\chan_003l_20080328, 914.82, ABOVE, 1.000000, 6664.8776769437, 6931.8306493599, 11640.105941003
..Output_data\chan_003l_20080328, 914.92, ABOVE, 1.000000, 6440.7573835955, 6697.4741624609, 10984.755310044
..Output_data\chan_003l_20080328, 915.02, ABOVE, 1.000000, 6207.2463967595, 6453.8177538391, 10352.267342189
..Output_data\chan_003l_20080328, 915.12, ABOVE, 1.000000, 5964.2244280482, 6200.8633493818, 9743.4481394835
..Output_data\chan_003l_20080328, 915.22, ABOVE, 1.000000, 5754.0498379132, 5980.9436290437, 9157.7416829547
..Output_data\chan_003l_20080328, 915.32, ABOVE, 1.000000, 5546.5387831792, 5763.8241054633, 8592.6145201683
..Output_data\chan_003l_20080328, 915.42, ABOVE, 1.000000, 5338.6566350292, 5546.3349059674, 8048.2894058733
..Output_data\chan_003l_20080328, 915.52, ABOVE, 1.000000, 5134.8034000482, 5332.9371738184, 7524.803786105
..Output_data\chan_003l_20080328, 915.62, ABOVE, 1.000000, 4943.0754053216, 5131.6767709682, 7020.8850258559
..Output_data\chan_003l_20080328, 915.72, ABOVE, 1.000000, 4750.2053846667, 4929.3635784001, 6536.1962252736
..Output_data\chan_003l_20080328, 915.82, ABOVE, 1.000000, 4535.9641095914, 4705.7463140741, 6071.7659753776
..Output_data\chan_003l_20080328, 915.92, ABOVE, 1.000000, 4325.0142411983, 4485.5150856397, 5628.6752806636
..Output_data\chan_003l_20080328, 916.02, ABOVE, 1.000000, 4103.0729343621, 4254.5180582006, 5207.0044297891
..Output_data\chan_003l_20080328, 916.12, ABOVE, 1.000000, 3855.7065371534, 3998.3530335334, 4809.3932770041
..Output_data\chan_003l_20080328, 916.22, ABOVE, 1.000000, 3632.5447500901, 3766.6710416498, 4435.0086534193
..Output_data\chan_003l_20080328, 916.32, ABOVE, 1.000000, 3417.0500533201, 3542.8491807102, 4082.4225204681
..Output_data\chan_003l_20080328, 916.42, ABOVE, 1.000000, 3202.7757464375, 3320.3245025513, 3751.4952293412
..Output_data\chan_003l_20080328, 916.52, ABOVE, 1.000000, 2988.0885698214, 3097.5098851535, 3441.9166084004
..Output_data\chan_003l_20080328, 916.62, ABOVE, 1.000000, 2793.2042263364, 2894.5472782495, 3153.1090849345
..Output_data\chan_003l_20080328, 916.72, ABOVE, 1.000000, 2629.1878552792, 2722.5515347248, 2882.1594067444
..Output_data\chan_003l_20080328, 916.82, ABOVE, 1.000000, 2480.7367294725, 2566.2350634275, 2626.8357027641
..Output_data\chan_003l_20080328, 916.92, ABOVE, 1.000000, 2337.4810215659, 2415.1435517928, 2385.8980969523
..Output_data\chan_003l_20080328, 917.02, ABOVE, 1.000000, 2201.6588937766, 2271.6320291971, 2158.9298442242
..Output_data\chan_003l_20080328, 917.12, ABOVE, 1.000000, 2076.3423184822, 2138.7933381546, 1945.0453028232
..Output_data\chan_003l_20080328, 917.22, ABOVE, 1.000000, 1950.842150057, 2006.0921986381, 1743.7865123869
..Output_data\chan_003l_20080328, 917.32, ABOVE, 1.000000, 1830.9595725191, 1879.3857145777, 1554.658950335
..Output_data\chan_003l_20080328, 917.42, ABOVE, 1.000000, 1707.739490529, 1749.8237764876, 1377.6508930351
..Output_data\chan_003l_20080328, 917.52, ABOVE, 1.000000, 1585.0944188348, 1621.2029671016, 1213.0354150284
..Output_data\chan_003l_20080328, 917.62, ABOVE, 1.000000, 1454.3557631803, 1484.8932525304, 1060.9604845407
..Output_data\chan_003l_20080328, 917.72, ABOVE, 1.000000, 1331.9427515263, 1357.3907204186, 921.71574083864
..Output_data\chan_003l_20080328, 917.82, ABOVE, 1.000000, 1211.1112789645, 1232.0236171418, 794.48427356516
..Output_data\chan_003l_20080328, 917.92, ABOVE, 1.000000, 1065.4839670119, 1082.3884402186, 680.31181844985
..Output_data\chan_003l_20080328, 918.02, ABOVE, 1.000000, 935.71746460009, 949.21955369264, 581.0777719954
..Output_data\chan_003l_20080328, 918.12, ABOVE, 1.000000, 842.02620299156, 852.59597327074, 492.22343670963
..Output_data\chan_003l_20080328, 918.22, ABOVE, 1.000000, 755.1085126768, 763.2298283782, 412.42559880728
..Output_data\chan_003l_20080328, 918.32, ABOVE, 1.000000, 684.73052309494, 691.01349374567, 340.54319174817
..Output_data\chan_003l_20080328, 918.42, ABOVE, 1.000000, 620.83409009263, 625.7268899496, 275.34250726349
..Output_data\chan_003l_20080328, 918.52, ABOVE, 1.000000, 560.37323370047, 564.24152107287, 216.32526541228
..Output_data\chan_003l_20080328, 918.62, ABOVE, 1.000000, 501.85137358581, 504.97409028481, 163.19692045005
..Output_data\chan_003l_20080328, 918.72, ABOVE, 1.000000, 440.30970256754, 442.82610190826, 116.02300662078
..Output_data\chan_003l_20080328, 918.82, ABOVE, 1.000000, 373.64484039646, 375.64524113266, 75.311801592216
