Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..Output_data\eddy_003l_20080328, 908.62, ABOVE, 1.000000,  7575.29402188, 7871.7750745533, 65053.626018658
..Output_data\eddy_003l_20080328, 908.72, ABOVE, 1.000000, 7574.7472143175, 7871.1944276483, 64296.115156695
..Output_data\eddy_003l_20080328, 908.82, ABOVE, 1.000000, 7573.2803162198, 7869.6319153544, 63538.709270787
..Output_data\eddy_003l_20080328, 908.92, ABOVE, 1.000000, 7571.567531296, 7867.7688561987, 62781.465843588
..Output_data\eddy_003l_20080328, 909.02, ABOVE, 1.000000, 7569.5635034362, 7865.5820427285, 62024.405762791
..Output_data\eddy_003l_20080328, 909.12, ABOVE, 1.000000, 7567.0312471099, 7862.8315137083, 61267.570997251
..Output_data\eddy_003l_20080328, 909.22, ABOVE, 1.000000, 7562.3660072225, 7857.7277303656, 60511.085228884
..Output_data\eddy_003l_20080328, 909.32, ABOVE, 1.000000, 7556.7418547524, 7851.5762890272, 59755.125776668
..Output_data\eddy_003l_20080328, 909.42, ABOVE, 1.000000, 7550.7375647281, 7844.998405226, 58999.748150889
..Output_data\eddy_003l_20080328, 909.52, ABOVE, 1.000000, 7544.291661219, 7837.9026018083, 58244.98851788
..Output_data\eddy_003l_20080328, 909.62, ABOVE, 1.000000, 7536.7160964694, 7829.5916777791, 57490.929180249
..Output_data\eddy_003l_20080328, 909.72, ABOVE, 1.000000, 7528.1650186765, 7820.2701486048, 56737.677036334
..Output_data\eddy_003l_20080328, 909.82, ABOVE, 1.000000, 7519.2314193255, 7810.5338330892, 55985.304762298
..Output_data\eddy_003l_20080328, 909.92, ABOVE, 1.000000, 7509.1557410107, 7799.628048492, 55233.873131485
..Output_data\eddy_003l_20080328, 910.02, ABOVE, 1.000000, 7498.9942182951, 7788.5994433482, 54483.465112877
..Output_data\eddy_003l_20080328, 910.12, ABOVE, 1.000000, 7488.3258557284, 7777.0128907205, 53734.090788747
..Output_data\eddy_003l_20080328, 910.22, ABOVE, 1.000000, 7476.832356233, 7764.5662953924, 52985.822269092
..Output_data\eddy_003l_20080328, 910.32, ABOVE, 1.000000, 7464.0507569558, 7750.789779403, 52238.769073014
..Output_data\eddy_003l_20080328, 910.42, ABOVE, 1.000000, 7451.557641829, 7737.2432295094, 51492.99544748
..Output_data\eddy_003l_20080328, 910.52, ABOVE, 1.000000, 7439.360252718, 7723.9459728587, 50748.449494062
..Output_data\eddy_003l_20080328, 910.62, ABOVE, 1.000000, 7427.0774177945, 7710.5056613772, 50005.128365061
..Output_data\eddy_003l_20080328, 910.72, ABOVE, 1.000000, 7414.9704856613, 7697.1829114718, 49263.027691477
..Output_data\eddy_003l_20080328, 910.82, ABOVE, 1.000000, 7402.8022185831, 7683.7531876242, 48522.135034118
..Output_data\eddy_003l_20080328, 910.92, ABOVE, 1.000000, 7390.6084137471, 7670.2611314684, 47782.46522965
..Output_data\eddy_003l_20080328, 911.02, ABOVE, 1.000000, 7378.1471047667, 7656.4710737241, 47044.022389211
..Output_data\eddy_003l_20080328, 911.12, ABOVE, 1.000000, 7364.9757226143, 7641.9454290353, 46306.861173623
..Output_data\eddy_003l_20080328, 911.22, ABOVE, 1.000000, 7351.2663523314, 7626.8464404927, 45571.044005963
..Output_data\eddy_003l_20080328, 911.32, ABOVE, 1.000000, 7336.6920703464, 7610.8345979772, 44836.635022986
..Output_data\eddy_003l_20080328, 911.42, ABOVE, 1.000000, 7321.1892778375, 7593.8466758586, 44103.734305272
..Output_data\eddy_003l_20080328, 911.52, ABOVE, 1.000000, 7304.8880914124, 7576.0097098893, 43372.424620161
..Output_data\eddy_003l_20080328, 911.62, ABOVE, 1.000000, 7288.2227301571, 7557.7686058174, 42642.766530645
