Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..put_data\minchan_003l_20080202, 906.12, ABOVE, 1.000000, 16741.671924082, 17325.404358698, 104091.28308635
..put_data\minchan_003l_20080202, 906.22, ABOVE, 1.000000, 16741.654774385, 17325.387144135, 102417.11591679
..put_data\minchan_003l_20080202, 906.32, ABOVE, 1.000000, 16735.535188982, 17319.217780039, 100743.1998072
..put_data\minchan_003l_20080202, 906.42, ABOVE, 1.000000, 16723.885737927, 17307.404737399, 99070.184518608
..put_data\minchan_003l_20080202, 906.52, ABOVE, 1.000000, 16702.123221087, 17285.319282124, 97398.749391713
..put_data\minchan_003l_20080202, 906.62, ABOVE, 1.000000, 16655.82142024, 17238.502254853, 95730.74203394
..put_data\minchan_003l_20080202, 906.72, ABOVE, 1.000000, 16613.946580215, 17195.977072936, 94067.346863205
..put_data\minchan_003l_20080202, 906.82, ABOVE, 1.000000, 16573.990159759, 17155.193081983, 92408.004549493
..put_data\minchan_003l_20080202, 906.92, ABOVE, 1.000000, 16532.144650527, 17112.419064602, 90752.62130446
..put_data\minchan_003l_20080202, 907.02, ABOVE, 1.000000, 16492.316622983, 17071.555257915, 89101.478328936
..put_data\minchan_003l_20080202, 907.12, ABOVE, 1.000000, 16455.361608169, 17033.471845442, 87454.061874713
..put_data\minchan_003l_20080202, 907.22, ABOVE, 1.000000, 16396.052123135, 16972.914840116, 85811.345527294
..put_data\minchan_003l_20080202, 907.32, ABOVE, 1.000000, 16337.003180056, 16912.515871432, 84174.749278055
..put_data\minchan_003l_20080202, 907.42, ABOVE, 1.000000, 16275.405350602, 16849.453572491, 82543.992747057
..put_data\minchan_003l_20080202, 907.52, ABOVE, 1.000000, 16207.958869173, 16780.493521254, 80919.864939782
..put_data\minchan_003l_20080202, 907.62, ABOVE, 1.000000, 16134.332874534, 16705.357931774, 79302.769523514
..put_data\minchan_003l_20080202, 907.72, ABOVE, 1.000000, 16059.425080243, 16628.827735239, 77692.868823964
..put_data\minchan_003l_20080202, 907.82, ABOVE, 1.000000, 15952.800669516, 16520.387826542, 76092.007394022
..put_data\minchan_003l_20080202, 907.92, ABOVE, 1.000000, 15821.786343155, 16387.305786386, 74503.359822546
..put_data\minchan_003l_20080202, 908.02, ABOVE, 1.000000, 15690.972701129, 16254.105950628, 72927.818531949
..put_data\minchan_003l_20080202, 908.12, ABOVE, 1.000000, 15564.32285791, 16124.739096547, 71365.018815897
..put_data\minchan_003l_20080202, 908.22, ABOVE, 1.000000,  15418.5715386, 15976.030104694, 69815.676050858
..put_data\minchan_003l_20080202, 908.32, ABOVE, 1.000000, 15250.69589675, 15804.973802897, 68281.546033216
..put_data\minchan_003l_20080202, 908.42, ABOVE, 1.000000, 15035.440431026, 15586.307422841, 66767.331780907
..put_data\minchan_003l_20080202, 908.52, ABOVE, 1.000000, 14880.921355263, 15428.159890641, 65271.893492332
..put_data\minchan_003l_20080202, 908.62, ABOVE, 1.000000, 14734.712121267, 15278.081690826, 63791.010859189
..put_data\minchan_003l_20080202, 908.72, ABOVE, 1.000000, 14618.609455743, 15157.998899556, 62323.552929189
..put_data\minchan_003l_20080202, 908.82, ABOVE, 1.000000, 14505.537244195, 15040.828514142, 60867.22225024
..put_data\minchan_003l_20080202, 908.92, ABOVE, 1.000000, 14367.284895102, 14898.535354308, 59423.178374504
..put_data\minchan_003l_20080202, 909.02, ABOVE, 1.000000, 14238.153703043, 14765.320229275, 57993.357868448
..put_data\minchan_003l_20080202, 909.12, ABOVE, 1.000000, 14135.923773191, 14659.017134755, 56574.761295212
..put_data\minchan_003l_20080202, 909.22, ABOVE, 1.000000, 14035.105353104, 14554.117360875, 55166.038426277
..put_data\minchan_003l_20080202, 909.32, ABOVE, 1.000000, 13925.538093561, 14440.49464099, 53767.967613911
..put_data\minchan_003l_20080202, 909.42, ABOVE, 1.000000, 13820.638600236, 14331.497304969, 52380.623690715
..put_data\minchan_003l_20080202, 909.52, ABOVE, 1.000000, 13706.879433314, 14213.535871155, 51004.048899234
..put_data\minchan_003l_20080202, 909.62, ABOVE, 1.000000, 13563.756231405, 14065.954652449, 49640.411702016
..put_data\minchan_003l_20080202, 909.72, ABOVE, 1.000000, 13415.835883472, 13913.25358947, 48291.350507116
..put_data\minchan_003l_20080202, 909.82, ABOVE, 1.000000, 13270.923490692, 13763.350700382, 46957.092156491
..put_data\minchan_003l_20080202, 909.92, ABOVE, 1.000000, 13111.539049594, 13598.776160932, 45638.220066485
..put_data\minchan_003l_20080202, 910.02, ABOVE, 1.000000, 12978.792316015, 13460.624917599, 44333.868203356
..put_data\minchan_003l_20080202, 910.12, ABOVE, 1.000000, 12857.899185988, 13334.174259698, 43042.119611216
..put_data\minchan_003l_20080202, 910.22, ABOVE, 1.000000, 12740.589240836, 13211.247452337, 41762.139641582
..put_data\minchan_003l_20080202, 910.32, ABOVE, 1.000000, 12602.143897613, 13067.228687756, 40494.64069219
..put_data\minchan_003l_20080202, 910.42, ABOVE, 1.000000, 12449.17922544, 12908.680245595, 39242.189398463
..put_data\minchan_003l_20080202, 910.52, ABOVE, 1.000000, 12308.604297472, 12762.351618777, 38004.396518522
..put_data\minchan_003l_20080202, 910.62, ABOVE, 1.000000, 12175.980236067, 12623.689533091, 36780.190502072
..put_data\minchan_003l_20080202, 910.72, ABOVE, 1.000000, 12029.901352676, 12471.350082974, 35569.550611733
..put_data\minchan_003l_20080202, 910.82, ABOVE, 1.000000, 11874.340305278, 12309.43111659, 34374.409579147
..put_data\minchan_003l_20080202, 910.92, ABOVE, 1.000000, 11722.572686647, 12151.358372503, 33194.522926897
..put_data\minchan_003l_20080202, 911.02, ABOVE, 1.000000, 11567.973425728, 11990.461195032, 32029.987459829
..put_data\minchan_003l_20080202, 911.12, ABOVE, 1.000000, 11413.627521223, 11829.589217925, 30880.653891601
..put_data\minchan_003l_20080202, 911.22, ABOVE, 1.000000, 11254.290826321, 11663.563841824, 29747.315525756
..put_data\minchan_003l_20080202, 911.32, ABOVE, 1.000000, 11109.613650613, 11512.083670028, 28629.255265121
..put_data\minchan_003l_20080202, 911.42, ABOVE, 1.000000, 10968.220596371, 11363.828746825, 27525.31299389
..put_data\minchan_003l_20080202, 911.52, ABOVE, 1.000000, 10820.691329688, 11209.400403578, 26435.78077053
..put_data\minchan_003l_20080202, 911.62, ABOVE, 1.000000, 10666.361811502, 11048.072318532, 25361.440249009
..put_data\minchan_003l_20080202, 911.72, ABOVE, 1.000000, 10501.009205192, 10875.596859247, 24302.845400861
..put_data\minchan_003l_20080202, 911.82, ABOVE, 1.000000, 10345.961118713, 10713.324920445, 23260.636827513
..put_data\minchan_003l_20080202, 911.92, ABOVE, 1.000000, 10200.86470086, 10560.980839739, 22233.309063747
..put_data\minchan_003l_20080202, 912.02, ABOVE, 1.000000, 10049.17961232, 10402.179609959, 21220.684796071
..put_data\minchan_003l_20080202, 912.12, ABOVE, 1.000000, 9884.902919438, 10230.863823982, 20223.920423696
..put_data\minchan_003l_20080202, 912.22, ABOVE, 1.000000, 9717.0676472942, 10056.056379401, 19243.751633939
..put_data\minchan_003l_20080202, 912.32, ABOVE, 1.000000, 9534.2810020869, 9866.2389511903, 18281.096885825
..put_data\minchan_003l_20080202, 912.42, ABOVE, 1.000000, 9344.1154013617, 9668.8231208428, 17337.140475366
..put_data\minchan_003l_20080202, 912.52, ABOVE, 1.000000, 9138.5626187373, 9455.8062610349, 16413.047056905
..put_data\minchan_003l_20080202, 912.62, ABOVE, 1.000000, 8969.5274636872, 9279.191660523, 15507.927235629
..put_data\minchan_003l_20080202, 912.72, ABOVE, 1.000000, 8808.0301638318, 9110.1336354757, 14618.796678765
..put_data\minchan_003l_20080202, 912.82, ABOVE, 1.000000, 8625.7659277271, 8920.3877802573, 13746.975541584
..put_data\minchan_003l_20080202, 912.92, ABOVE, 1.000000, 8423.8404186907, 8711.0528006622, 12894.450459327
..put_data\minchan_003l_20080202, 913.02, ABOVE, 1.000000, 8241.1611962814, 8520.9465991587, 12061.257740731
..put_data\minchan_003l_20080202, 913.12, ABOVE, 1.000000, 8043.431098775, 8315.6850149867, 11247.090713727
..put_data\minchan_003l_20080202, 913.22, ABOVE, 1.000000, 7853.1240392025, 8117.7217520482, 10452.11053909
..put_data\minchan_003l_20080202, 913.32, ABOVE, 1.000000, 7644.659789843, 7901.6575617232, 9677.2173990813
..put_data\minchan_003l_20080202, 913.42, ABOVE, 1.000000, 7422.1017801616, 7671.5955968786, 8923.5716129531
..put_data\minchan_003l_20080202, 913.52, ABOVE, 1.000000, 7218.1985076391, 7460.270237651, 8191.6026313695
..put_data\minchan_003l_20080202, 913.62, ABOVE, 1.000000, 6978.7695117264, 7213.5196043016,  7481.16858247
..put_data\minchan_003l_20080202, 913.72, ABOVE, 1.000000, 6671.514217761, 6898.7556587722, 6798.4196209525
