Dataset, Plane_Height, Reference, Z_Factor, Area_2D, Area_3D, Volume
..put_data\mineddy_003l_20080328, 908.42, ABOVE, 1.000000, 7575.2931815755, 7943.9343619585, 55253.899183608
..put_data\mineddy_003l_20080328, 908.52, ABOVE, 1.000000, 7575.2902630077, 7943.9313793204, 54496.36987131
..put_data\mineddy_003l_20080328, 908.62, ABOVE, 1.000000, 7574.6096654449, 7943.2226162661, 53738.86765948
..put_data\mineddy_003l_20080328, 908.72, ABOVE, 1.000000, 7572.9594360143, 7941.4623679511, 52981.47918179
..put_data\mineddy_003l_20080328, 908.82, ABOVE, 1.000000, 7570.1639175451, 7938.444703159, 52224.313236112
..put_data\mineddy_003l_20080328, 908.92, ABOVE, 1.000000, 7564.7251810247, 7932.6028205462, 51467.532571531
..put_data\mineddy_003l_20080328, 909.02, ABOVE, 1.000000, 7555.1303535851, 7922.4343633461, 50711.520204405
..put_data\mineddy_003l_20080328, 909.12, ABOVE, 1.000000, 7542.8577511713, 7909.5450822545, 49956.58248722
..put_data\mineddy_003l_20080328, 909.22, ABOVE, 1.000000, 7524.4934473733, 7890.5572985815, 49203.181014177
..put_data\mineddy_003l_20080328, 909.32, ABOVE, 1.000000, 7500.8858874344, 7866.3071874332, 48451.876204362
..put_data\mineddy_003l_20080328, 909.42, ABOVE, 1.000000, 7474.9911093845, 7839.6749438687, 47703.073401934
..put_data\mineddy_003l_20080328, 909.52, ABOVE, 1.000000, 7452.4922814294, 7816.3178740091, 46956.723690234
..put_data\mineddy_003l_20080328, 909.62, ABOVE, 1.000000, 7418.1190513305, 7780.9542669196, 46213.197879361
..put_data\mineddy_003l_20080328, 909.72, ABOVE, 1.000000, 7394.7425268284, 7756.4854893833, 45472.578179107
..put_data\mineddy_003l_20080328, 909.82, ABOVE, 1.000000, 7372.3949169791, 7732.8948031407, 44734.225431944
..put_data\mineddy_003l_20080328, 909.92, ABOVE, 1.000000, 7350.3744909658, 7709.4815588678, 43998.081123856
..put_data\mineddy_003l_20080328, 910.02, ABOVE, 1.000000, 7327.9218982762, 7685.4566931598, 43264.176685879
..put_data\mineddy_003l_20080328, 910.12, ABOVE, 1.000000, 7305.4843294373, 7661.3724505787, 42532.479141878
..put_data\mineddy_003l_20080328, 910.22, ABOVE, 1.000000, 7284.6020635473, 7638.7240084714, 41803.003847479
..put_data\mineddy_003l_20080328, 910.32, ABOVE, 1.000000, 7263.8007933982, 7616.1193222068, 41075.57634491
..put_data\mineddy_003l_20080328, 910.42, ABOVE, 1.000000, 7242.8555991223, 7593.2801927578, 40350.243886371
..put_data\mineddy_003l_20080328, 910.52, ABOVE, 1.000000, 7221.0736265203, 7569.4926607603, 39627.04091514
..put_data\mineddy_003l_20080328, 910.62, ABOVE, 1.000000, 7198.2972338834, 7544.6581839097, 38906.058166359
..put_data\mineddy_003l_20080328, 910.72, ABOVE, 1.000000, 7173.6017018141, 7517.8989160676, 38187.45262454
..put_data\mineddy_003l_20080328, 910.82, ABOVE, 1.000000, 7148.0597789158, 7490.3044516807, 37471.367620315
..put_data\mineddy_003l_20080328, 910.92, ABOVE, 1.000000, 7122.5776421757, 7462.7075576974, 36757.831171644
..put_data\mineddy_003l_20080328, 911.02, ABOVE, 1.000000, 7096.768684632, 7434.7374153829, 36046.85967931
..put_data\mineddy_003l_20080328, 911.12, ABOVE, 1.000000, 7071.3120784292, 7407.0677784323, 35338.468206424
..put_data\mineddy_003l_20080328, 911.22, ABOVE, 1.000000,  7046.31298459, 7379.7938400814, 34632.580475911
..put_data\mineddy_003l_20080328, 911.32, ABOVE, 1.000000, 7017.7133830257, 7348.8675423249, 33929.301528078
..put_data\mineddy_003l_20080328, 911.42, ABOVE, 1.000000, 6985.1520424473, 7313.9302120927, 33229.150403966
..put_data\mineddy_003l_20080328, 911.52, ABOVE, 1.000000, 6950.9435542861, 7277.2976933426, 32532.349589882
..put_data\mineddy_003l_20080328, 911.62, ABOVE, 1.000000, 6917.9517245893, 7241.7929917147, 31838.909911477
..put_data\mineddy_003l_20080328, 911.72, ABOVE, 1.000000, 6884.8521334912, 7206.1475433281, 31148.783107171
..put_data\mineddy_003l_20080328, 911.82, ABOVE, 1.000000, 6851.4306401989, 7170.161261729, 30461.957639414
..put_data\mineddy_003l_20080328, 911.92, ABOVE, 1.000000, 6817.518818245, 7133.7082317039, 29778.516670497
..put_data\mineddy_003l_20080328, 912.02, ABOVE, 1.000000, 6770.0372363481, 7083.6907653735, 29098.858186393
..put_data\mineddy_003l_20080328, 912.12, ABOVE, 1.000000, 6710.9165057439, 7021.9712565733, 28424.796670317
..put_data\mineddy_003l_20080328, 912.22, ABOVE, 1.000000, 6658.3076170721, 6966.6729689475, 27756.291103967
..put_data\mineddy_003l_20080328, 912.32, ABOVE, 1.000000, 6609.0739986262, 6914.592516161, 27092.995278527
..put_data\mineddy_003l_20080328, 912.42, ABOVE, 1.000000, 6560.8352439136, 6863.4204363261, 26434.540310911
..put_data\mineddy_003l_20080328, 912.52, ABOVE, 1.000000, 6515.0554918667, 6814.6597796496, 25780.731395398
..put_data\mineddy_003l_20080328, 912.62, ABOVE, 1.000000, 6464.9554354778, 6761.5108937249, 25131.697358031
..put_data\mineddy_003l_20080328, 912.72, ABOVE, 1.000000, 6412.1069633767, 6705.6103544494, 24487.814975049
..put_data\mineddy_003l_20080328, 912.82, ABOVE, 1.000000, 6355.9003031609, 6646.466265755, 23849.423191913
..put_data\mineddy_003l_20080328, 912.92, ABOVE, 1.000000, 6301.4329014634, 6589.0643122807, 23216.526828038
..put_data\mineddy_003l_20080328, 913.02, ABOVE, 1.000000, 6229.7085308475, 6514.5023369484, 22589.41764539
..put_data\mineddy_003l_20080328, 913.12, ABOVE, 1.000000, 6132.3816525567, 6414.381568138, 21971.104971651
..put_data\mineddy_003l_20080328, 913.22, ABOVE, 1.000000, 6059.4448944436, 6338.5867374434, 21361.60815548
..put_data\mineddy_003l_20080328, 913.32, ABOVE, 1.000000, 5988.9109361744, 6265.191544271, 20759.162170377
..put_data\mineddy_003l_20080328, 913.42, ABOVE, 1.000000, 5920.177180717, 6193.7722624134, 20163.695573335
..put_data\mineddy_003l_20080328, 913.52, ABOVE, 1.000000, 5858.3341627328, 6129.2525759667, 19574.829071351
..put_data\mineddy_003l_20080328, 913.62, ABOVE, 1.000000, 5798.8017958764, 6067.0234035208, 18991.893543644
..put_data\mineddy_003l_20080328, 913.72, ABOVE, 1.000000, 5730.3929159922, 5995.9394561006, 18415.413651814
..put_data\mineddy_003l_20080328, 913.82, ABOVE, 1.000000, 5663.9432426305, 5926.7863458794, 17845.655603348
..put_data\mineddy_003l_20080328, 913.92, ABOVE, 1.000000, 5594.9873057384, 5855.1232598127, 17282.747420711
..put_data\mineddy_003l_20080328, 914.02, ABOVE, 1.000000, 5523.5154832424, 5781.1353823642, 16726.764284409
..put_data\mineddy_003l_20080328, 914.12, ABOVE, 1.000000, 5454.2735438743, 5709.4190316032, 16177.894289739
..put_data\mineddy_003l_20080328, 914.22, ABOVE, 1.000000, 5379.0412550044, 5631.628933778, 15636.09140961
..put_data\mineddy_003l_20080328, 914.32, ABOVE, 1.000000, 5298.8791733939, 5548.8215685846, 15102.285825441
..put_data\mineddy_003l_20080328, 914.42, ABOVE, 1.000000, 5227.8668411051, 5475.0335160515, 14575.977102873
..put_data\mineddy_003l_20080328, 914.52, ABOVE, 1.000000, 5158.6418490241, 5402.9248290245, 14056.641684223
..put_data\mineddy_003l_20080328, 914.62, ABOVE, 1.000000, 5088.5582171665, 5329.9665582367, 13544.259799182
..put_data\mineddy_003l_20080328, 914.72, ABOVE, 1.000000, 5013.1901058811, 5251.7942604714, 13039.147682825
..put_data\mineddy_003l_20080328, 914.82, ABOVE, 1.000000, 4931.020532493, 5166.9890466334, 12541.796955466
..put_data\mineddy_003l_20080328, 914.92, ABOVE, 1.000000, 4825.7275945264, 5059.1107631288, 12053.766255925
..put_data\mineddy_003l_20080328, 915.02, ABOVE, 1.000000, 4700.9595942171, 4931.5473396791, 11577.558926061
..put_data\mineddy_003l_20080328, 915.12, ABOVE, 1.000000, 4580.4420581338, 4807.9660299747, 11113.496580564
..put_data\mineddy_003l_20080328, 915.22, ABOVE, 1.000000, 4446.815046683, 4670.9695878908, 10661.564731694
..put_data\mineddy_003l_20080328, 915.32, ABOVE, 1.000000, 4274.4791406595, 4495.0167176941, 10225.480252199
..put_data\mineddy_003l_20080328, 915.42, ABOVE, 1.000000, 4126.6270579453, 4343.277765073, 9805.7322858785
..put_data\mineddy_003l_20080328, 915.52, ABOVE, 1.000000, 3989.6266999624, 4202.2922031325, 9399.9916389823
..put_data\mineddy_003l_20080328, 915.62, ABOVE, 1.000000, 3851.6300714318, 4060.3793177353, 9007.9114439572
..put_data\mineddy_003l_20080328, 915.72, ABOVE, 1.000000, 3729.6869594057, 3934.753182861, 8628.9725832749
..put_data\mineddy_003l_20080328, 915.82, ABOVE, 1.000000, 3616.5199999751, 3818.0096186022, 8261.7210798592
..put_data\mineddy_003l_20080328, 915.92, ABOVE, 1.000000, 3503.3102203917, 3701.2411339314, 7905.7762497571
..put_data\mineddy_003l_20080328, 916.02, ABOVE, 1.000000, 3393.8151803907, 3588.3428459908, 7560.938893881
..put_data\mineddy_003l_20080328, 916.12, ABOVE, 1.000000, 3290.5780360262, 3481.8441860825, 7226.7789342515
..put_data\mineddy_003l_20080328, 916.22, ABOVE, 1.000000, 3195.6003255993, 3383.6671372105, 6902.5317565955
..put_data\mineddy_003l_20080328, 916.32, ABOVE, 1.000000, 3105.3230238375, 3290.2995055124, 6587.4232704764
..put_data\mineddy_003l_20080328, 916.42, ABOVE, 1.000000, 3014.7209062781, 3196.6571597817, 6281.4858563691
..put_data\mineddy_003l_20080328, 916.52, ABOVE, 1.000000, 2931.2729093619, 3110.1285179606, 5984.1605737006
..put_data\mineddy_003l_20080328, 916.62, ABOVE, 1.000000, 2840.9424879921, 3016.669426628, 5695.5326924743
..put_data\mineddy_003l_20080328, 916.72, ABOVE, 1.000000, 2768.8981298785, 2941.6434320431, 5415.2182497062
..put_data\mineddy_003l_20080328, 916.82, ABOVE, 1.000000, 2706.5999443136, 2876.3811272529, 5141.4537788348
..put_data\mineddy_003l_20080328, 916.92, ABOVE, 1.000000, 2645.7176053228, 2812.4430350172, 4873.8580308112
..put_data\mineddy_003l_20080328, 917.02, ABOVE, 1.000000,  2581.30189028, 2744.8433353096, 4612.4383554077
..put_data\mineddy_003l_20080328, 917.12, ABOVE, 1.000000, 2506.7533831572, 2666.9181963817, 4358.1633786195
..put_data\mineddy_003l_20080328, 917.22, ABOVE, 1.000000, 2439.0051488814, 2595.6237722585, 4110.8250646904
..put_data\mineddy_003l_20080328, 917.32, ABOVE, 1.000000, 2369.7873609667, 2522.801736281, 3870.3170166036
..put_data\mineddy_003l_20080328, 917.42, ABOVE, 1.000000, 2281.2711328775, 2430.4869006267, 3637.4755786688
..put_data\mineddy_003l_20080328, 917.52, ABOVE, 1.000000, 2180.3795869899, 2325.4509593326, 3414.4232843946
..put_data\mineddy_003l_20080328, 917.62, ABOVE, 1.000000, 2077.7060478963, 2218.3971298233, 3201.5141779753
..put_data\mineddy_003l_20080328, 917.72, ABOVE, 1.000000, 1963.933480105, 2100.2074313884, 2999.2595801584
..put_data\mineddy_003l_20080328, 917.82, ABOVE, 1.000000, 1849.1436593179, 1981.0521603494, 2808.7012481132
..put_data\mineddy_003l_20080328, 917.92, ABOVE, 1.000000, 1749.2808727281, 1876.9548174639, 2628.9256126779
..put_data\mineddy_003l_20080328, 918.02, ABOVE, 1.000000, 1651.6530564228, 1775.1340497283, 2458.834065471
..put_data\mineddy_003l_20080328, 918.12, ABOVE, 1.000000, 1555.7659296302, 1675.1715993112, 2298.5013956494
..put_data\mineddy_003l_20080328, 918.22, ABOVE, 1.000000, 1464.4562760185, 1579.8675918646, 2147.4726897698
..put_data\mineddy_003l_20080328, 918.32, ABOVE, 1.000000, 1369.5166041051, 1481.099879585, 2005.7719819215
..put_data\mineddy_003l_20080328, 918.42, ABOVE, 1.000000, 1278.1198501192, 1386.0041947372, 1873.3918154557
..put_data\mineddy_003l_20080328, 918.52, ABOVE, 1.000000, 1192.826933019, 1297.1983028532, 1749.9172071806
..put_data\mineddy_003l_20080328, 918.62, ABOVE, 1.000000, 1100.7193389705, 1201.8264101773, 1635.1932189898
..put_data\mineddy_003l_20080328, 918.72, ABOVE, 1.000000, 1013.1104441089, 1111.049009683, 1529.5876617092
..put_data\mineddy_003l_20080328, 918.82, ABOVE, 1.000000, 929.76269373298, 1024.6985304727, 1432.4087167259
..put_data\mineddy_003l_20080328, 918.92, ABOVE, 1.000000, 849.89857552811, 942.12550741536, 1343.4385825057
..put_data\mineddy_003l_20080328, 919.02, ABOVE, 1.000000, 780.93652493082, 870.7712757882, 1262.1582361728
..put_data\mineddy_003l_20080328, 919.12, ABOVE, 1.000000, 732.84934346426, 820.56793557826, 1186.5915731944
..put_data\mineddy_003l_20080328, 919.22, ABOVE, 1.000000, 693.2303485134, 778.99408202804, 1115.3010220658
..put_data\mineddy_003l_20080328, 919.32, ABOVE, 1.000000, 655.15181251431, 738.98410523502, 1047.9119834736
..put_data\mineddy_003l_20080328, 919.42, ABOVE, 1.000000, 620.02516872578, 702.03199109077, 984.18423330241
..put_data\mineddy_003l_20080328, 919.52, ABOVE, 1.000000, 587.97947661647, 668.31103114936, 923.81929453429
..put_data\mineddy_003l_20080328, 919.62, ABOVE, 1.000000, 559.6465901609, 638.47118070383, 866.46491532421
..put_data\mineddy_003l_20080328, 919.72, ABOVE, 1.000000, 533.2612317421, 610.73834049979, 811.8258055129
..put_data\mineddy_003l_20080328, 919.82, ABOVE, 1.000000, 506.53859414757, 582.57994257454, 759.81917789865
..put_data\mineddy_003l_20080328, 919.92, ABOVE, 1.000000, 480.06905160965, 554.61044427244, 710.48990038938
..put_data\mineddy_003l_20080328, 920.02, ABOVE, 1.000000, 455.53161225076, 528.62965933678, 663.73383920867
..put_data\mineddy_003l_20080328, 920.12, ABOVE, 1.000000, 428.99598400005, 500.64615754881, 619.46752513972
..put_data\mineddy_003l_20080328, 920.22, ABOVE, 1.000000,   401.90964673, 472.20443921935, 577.92684626579
..put_data\mineddy_003l_20080328, 920.32, ABOVE, 1.000000, 371.4700517782, 440.53655943426, 539.11566223663
..put_data\mineddy_003l_20080328, 920.42, ABOVE, 1.000000, 332.4320330962, 400.23392286725, 503.99818696771
